Fecha   Tmax        Tmin        Prec    Rad
       1       23.88       22.94    0.00     25.23
       2       25.44       24.38    0.17     25.28
       3       22.98       22.07    0.52     16.43
       4       22.70       21.92    0.02     16.95
       5       23.98       23.06    0.00     25.61
       6       24.37       23.34    0.00     25.45
       7       24.67       23.58    0.00     26.80
       8       24.87       23.87    0.00     22.50
       9       23.88       22.98    0.03     21.34
      10       24.70       23.82    0.00     18.25
      11       23.76       22.68    1.53     17.67
      12       22.76       21.78    0.63     25.35
      13       22.78       21.56    0.00     19.63
      14       22.99       22.04    0.01     13.17
      15       24.35       23.03    0.00     25.50
      16       24.73       23.62    0.00     23.07
      17       24.12       22.97    0.80     25.31
      18       24.91       23.33    0.66     28.33
      19       24.35       23.20    0.01     21.48
      20       25.15       23.90    0.08     24.38
      21       26.09       24.80    0.26     28.70
      22       26.20       24.82    0.00     28.82
      23       25.69       24.55    0.00     24.57
      24       26.24       24.90    0.22     27.90
      25       25.75       24.50    0.25     27.20
      26       23.45       21.61    0.55     27.44
      27       24.20       22.80    0.00     28.08
      28       24.63       23.19    0.00     28.46
      29       24.55       23.14    0.00     25.05
      30       25.09       23.93    0.00     25.25
      31       24.75       23.57    0.11     20.43
       1       23.99       22.88    0.51     20.93
       2       25.93       24.57    0.00     27.83
       3       25.76       24.19    1.57     25.47
       4       26.97       25.52    0.40     25.96
       5       26.49       25.26    0.00     18.18
       6       24.22       23.12    0.88     19.42
       7       23.67       22.87    0.00     14.58
       8       24.14       23.16    0.00     20.72
       9       25.01       23.63    0.00     29.75
      10       25.36       23.83    2.32     28.88
      11       25.70       24.28    1.24     27.72
      12       25.76       24.53    0.00     26.10
      13       24.40       23.44    0.00     15.67
      14       24.46       23.42    0.04     20.83
      15       26.44       25.20    0.00     28.51
      16       26.93       25.74    0.00     25.75
      17       27.20       25.79    0.18     29.08
      18       26.93       25.72    0.15     25.14
      19       26.55       25.56    0.00     20.85
      20       24.99       24.11    0.00     15.10
      21       25.65       24.68    0.00     21.80
      22       25.89       24.77    0.00     21.29
      23       26.34       25.27    0.00     22.56
      24       26.50       25.27    1.28     25.30
      25       26.38       25.20    1.20     27.64
      26       26.66       25.19    0.00     25.46
      27       27.14       25.83    0.00     17.95
      28       24.24       22.98    0.15     11.20
       1       22.39       21.60    2.18     16.20
       2       23.09       22.13    0.03     13.94
       3       24.72       23.53    0.26     28.54
       4       25.18       23.86    0.00     21.51
       5       26.61       25.22    0.00     27.60
       6       26.41       25.23    0.00     26.45
       7       24.03       22.95    0.69     19.86
       8       23.15       22.16    1.85     16.25
       9       23.68       22.73    0.18     18.16
      10       24.27       23.24    0.12     19.23
      11       24.93       23.84    0.00     25.63
      12       24.40       23.26    0.00     23.52
      13       24.25       23.24    0.00     22.64
      14       23.81       22.53    0.01     20.05
      15       24.09       23.13    0.00     20.59
      16       22.93       21.80    0.13     19.92
      17       24.22       23.33    0.01     23.79
      18       23.24       22.19    0.00     21.18
      19       24.60       23.44    0.00     24.53
      20       24.84       23.75    0.09     23.47
      21       24.20       23.18    0.20     22.99
      22       24.94       23.93    0.00     20.38
      23       25.32       24.35    0.00     22.71
      24       24.42       23.27    0.93     20.27
      25       24.18       23.31    0.03     20.08
      26       25.28       24.36    0.00     22.50
      27       25.88       24.87    0.00     23.54
      28       25.85       24.78    0.00     20.11
      29       25.04       23.91    0.01     18.92
      30       24.08       22.52    0.25     14.59
      31       24.45       23.29    0.00     21.70
       1       24.43       23.41    0.00     17.41
       2       24.23       23.20    0.39     15.71
       3       23.98       23.15    0.45     23.28
       4       23.00       22.16    0.31     18.56
       5       23.57       22.63    0.00     23.11
       6       24.51       23.57    0.01     24.55
       7       25.05       24.08    0.00     24.93
       8       24.85       23.83    0.00     21.06
       9       24.59       23.52    0.00     21.42
      10       24.99       23.91    0.00     23.40
      11       25.78       24.73    0.00     20.39
      12       25.88       24.79    0.00     19.39
      13       25.68       24.56    0.00     18.36
      14       23.95       22.80    0.44     14.87
      15       23.41       22.48    0.10     19.85
      16       24.55       23.51    0.00     17.34
      17       25.20       24.06    0.00     22.57
      18       23.76       22.79    0.23     22.41
      19       24.80       23.78    0.00     21.66
      20       25.15       24.07    0.00     20.71
      21       25.51       24.57    0.00     24.00
      22       25.03       24.05    0.00     18.64
      23       24.83       23.80    0.00     18.31
      24       24.96       23.95    0.72     14.42
      25       24.42       23.20    0.01     16.67
      26       24.70       23.43    0.01     14.87
      27       23.60       22.46    0.00     11.34
      28       24.15       22.89    0.00     20.82
      29       24.29       23.06    0.08     14.27
      30       25.06       24.14    0.00     18.55
       1       24.95       24.00    0.00     15.32
       2       24.68       23.57    0.00     19.85
       3       25.24       24.27    0.00     18.20
       4       25.63       24.56    0.00     16.56
       5       23.63       22.86    0.01     12.08
       6       23.32       22.16    0.00     15.28
       7       23.53       22.43    0.02     21.55
       8       24.00       22.70    0.00     21.00
       9       24.29       22.99    0.10     11.86
      10       23.99       23.00    0.25     12.77
      11       24.21       23.19    0.07     14.78
      12       23.13       22.23    0.43     13.67
      13       23.70       22.86    0.00     12.18
      14       23.59       22.80    0.00     12.65
      15       23.78       22.68    0.00     13.38
      16       23.80       22.50    0.00     21.31
      17       23.94       23.01    0.02     12.72
      18       24.56       23.39    0.00     17.74
      19       23.63       22.52    0.00     20.33
      20       23.32       21.97    0.00     23.48
      21       22.27       20.97    0.08      9.33
      22       23.12       21.97    0.01     13.49
      23       24.35       23.04    0.00     19.13
      24       23.90       22.73    0.00     14.46
      25       24.21       23.04    0.00     18.95
      26       23.84       22.53    0.00     21.71
      27       24.20       23.01    0.01     17.12
      28       23.28       22.39    0.18     11.94
      29       24.67       23.57    0.00     15.98
      30       23.50       22.24    0.01     20.30
      31       23.11       21.60    0.00     18.94
       1       23.77       22.39    0.00     19.47
       2       24.65       23.40    0.00     20.80
       3       24.72       23.76    0.00     11.98
       4       22.91       22.03    0.00     10.76
       5       23.42       22.26    0.02     15.00
       6       23.02       22.27    0.00     10.40
       7       19.85       18.99    0.00     13.20
       8       21.05       19.88    0.00     11.82
       9       18.63       17.74    0.00     11.95
      10       23.42       22.38    0.00     17.43
      11       22.80       21.79    0.00     12.17
      12       22.01       20.74    0.00     17.35
      13       22.28       21.14    0.00     12.70
      14       22.90       22.05    0.00     11.49
      15       23.43       22.51    0.00     14.40
      16       21.80       21.15    0.01      5.92
      17       21.75       20.80    0.00      8.88
      18       22.21       20.92    0.00     17.40
      19       22.54       21.52    0.00     10.55
      20       23.65       22.43    0.00     12.83
      21       22.73       21.47    0.00     15.25
      22       22.69       21.81    0.00     10.06
      23       21.56       20.43    0.00     13.55
      24       22.58       21.53    0.00     13.76
      25       22.43       21.33    0.00     13.67
      26       22.19       21.10    0.00     14.03
      27       22.60       21.54    0.00     12.23
      28       23.08       21.65    0.00     19.37
      29       22.05       20.50    0.00     15.59
      30       22.64       21.06    0.00     20.35
       1       23.24       21.90    0.00     16.08
       2       22.46       21.29    0.00     12.67
       3       22.13       20.73    0.00     19.83
       4       21.24       19.78    0.00     17.87
       5       21.05       19.74    0.00     19.42
       6       20.66       19.58    0.00     11.48
       7       20.94       20.10    0.00      9.92
       8       20.97       19.98    0.00     11.52
       9       20.99       19.92    0.00     11.24
      10       21.39       20.01    0.00     17.84
      11       21.85       20.56    0.00     18.43
      12       22.23       21.26    0.00     11.40
      13       21.68       20.31    0.00     14.26
      14       21.07       19.53    0.00     15.59
      15       20.57       19.40    0.00     13.03
      16       22.78       21.44    0.00     20.75
      17       22.92       21.63    0.00     19.37
      18       22.48       21.18    0.00     15.34
      19       22.04       20.74    0.00     15.24
      20       21.60       20.20    0.00     15.63
      21       22.59       21.54    0.00     11.60
      22       21.54       20.60    0.00      8.49
      23       21.11       19.74    0.00     12.42
      24       21.22       19.83    0.00     13.27
      25       21.25       20.18    0.00     11.87
      26       22.35       21.53    0.00     10.05
      27       21.67       20.44    0.00     10.49
      28       20.47       19.07    0.00     10.30
      29       20.75       19.21    0.00     11.03
      30       20.17       18.83    0.00     11.00
      31       20.52       19.37    0.00     13.77
       1       20.61       19.96    0.00      6.32
       2       21.44       20.18    0.00     18.20
       3       21.85       20.44    0.00     11.14
       4       21.73       20.36    0.00     14.25
       5       21.89       20.73    0.00     14.34
       6       23.25       22.30    0.00     19.92
       7       21.98       21.05    0.00     15.45
       8       21.05       20.35    0.01      8.76
       9       21.07       19.95    0.00     15.74
      10       20.98       20.27    0.05      9.35
      11       22.08       21.13    0.00     11.67
      12       20.98       19.74    0.03     10.81
      13       21.91       20.98    0.00      9.07
      14       21.13       19.67    0.00     19.00
      15       20.48       19.18    0.00     16.15
      16       21.14       19.73    0.00     20.73
      17       22.55       21.50    0.00     21.19
      18       21.97       20.58    0.00     22.50
      19       22.67       21.35    0.00     23.15
      20       22.65       21.19    0.00     22.80
      21       22.50       21.07    0.00     15.73
      22       21.73       20.58    0.00     14.16
      23       22.11       21.23    0.00     10.80
      24       22.55       21.44    0.00     14.20
      25       22.93       21.88    0.00     13.22
      26       22.08       21.03    0.00     10.10
      27       22.05       21.30    0.00     11.65
      28       22.90       22.04    0.00     10.78
      29       21.95       21.15    0.00      8.98
      30       22.90       21.79    0.00     15.15
      31       20.73       19.57    0.00     13.13
       1       22.73       21.60    0.00     10.97
       2       21.72       20.57    0.00     10.08
       3       23.30       22.07    0.00     22.21
       4       23.67       22.68    0.00     14.40
       5       23.43       21.83    0.00     21.85
       6       23.26       21.79    0.00     21.48
       7       23.22       21.73    0.00     18.64
       8       23.12       21.80    0.00     15.07
       9       23.92       22.43    0.00     19.93
      10       22.59       21.39    0.00     16.54
      11       22.07       20.97    0.00     10.63
      12       22.29       21.54    0.00     11.38
      13       22.17       21.10    0.00     13.29
      14       22.75       21.75    0.00     10.73
      15       22.85       21.34    0.00     18.85
      16       23.16       22.23    0.00     11.90
      17       19.28       18.61    0.01      8.04
      18       23.00       22.04    0.00     13.16
      19       21.55       20.42    0.00     13.63
      20       22.03       21.18    0.00     12.07
      21       17.08       16.38    0.00     13.33
      22       21.36       20.69    0.00      5.74
      23       22.85       21.83    0.00     21.46
      24       22.75       21.22    0.00     21.87
      25       22.61       21.25    0.00     14.25
      26       23.69       22.67    0.00     17.55
      27       24.42       23.23    0.00     22.69
      28       23.47       22.25    0.00     20.25
      29       21.42       20.62    0.03     10.54
      30       22.33       20.90    0.00     19.96
       1       22.55       21.35    0.00     14.50
       2       23.45       21.95    0.00     21.08
       3       23.46       22.48    0.00     18.52
       4       24.40       23.40    0.00     18.24
       5       24.23       23.06    0.00     15.00
       6       24.12       22.66    0.00     20.15
       7       24.95       23.45    0.00     22.47
       8       24.72       23.11    0.24     24.00
       9       25.53       24.38    0.00     24.42
      10       25.94       24.76    0.00     24.70
      11       26.68       25.34    0.00     25.57
      12       25.68       24.34    0.00     26.65
      13       25.16       24.00    0.08     22.44
      14       25.34       24.33    0.00     25.18
      15       25.05       23.99    0.00     25.93
      16       25.03       23.91    0.00     24.60
      17       25.20       24.25    0.00     22.83
